一级,二级,三级,四级,五级,可能耐药的药,能克服或绕开的药物/方向,患者人数量级,全球药物市场空间,代表药物 / 公司
实体瘤,皮肤肿瘤,黑色素瘤,BRAF V600突变（皮肤型）,BRAF V600E/V600K,一代BRAF抑制剂单药（维莫非尼/达拉非尼）,BRAF+MEK双靶（达拉非尼+曲美替尼；encorafenib+binimetinib）; 免疫联合（PD-1+CTLA-4）,全球年新发约32万人；美国年新发约10万人,约35-50亿美元,达拉非尼+曲美替尼（诺华）; encorafenib+binimetinib（Array/Pfizer）; 帕博利珠单抗（默沙东）; 伊匹木单抗（BMS）
实体瘤,皮肤肿瘤,黑色素瘤,BRAF V600突变（皮肤型）,BRAF抑制剂继发耐药（MEK1/2突变、NRAS突变、RTK上调）,BRAF+MEK双靶方案,三联方案（BRAFi+MEKi+免疫检查点抑制剂）；新型ERK抑制剂（ulixertinib）；Pan-RAF抑制剂（belvarafenib）,全球年新发约32万人；美国年新发约10万人,约35-50亿美元,达拉非尼+曲美替尼（诺华）; nivolumab+ipilimumab（BMS）
实体瘤,皮肤肿瘤,黑色素瘤,NRAS突变（Q61R等）,无直接NRAS抑制剂,MEK抑制剂单药（binimetinib/tunlametinib）,MEK+CDK4/6联合抑制；免疫检查点抑制剂（anti-PD-1/anti-CTLA-4）; Pan-RAS(ON)抑制剂（RMC-7977/RMC-6236）在研,全球年新发约32万人；美国年新发约10万人,约15-20亿美元,Binimetinib（Array/Pfizer）; tunlametinib（科州制药/恒瑞）; nivolumab（BMS）; pembrolizumab（默沙东）
实体瘤,皮肤肿瘤,黑色素瘤,c-KIT突变（肢端/黏膜/慢性日光损伤型）,伊马替尼等TKI,伊马替尼、达沙替尼、尼洛替尼,Avapritinib（强效KIT抑制剂）; 免疫检查点抑制剂；联合治疗,全球年新发约32万人；美国年新发约10万人,约5-8亿美元,Imatinib（诺华）; avapritinib（Blueprint Medicines）; dasatinib（BMS）
实体瘤,皮肤肿瘤,黑色素瘤,NF1突变/缺失（BRAF/NRAS野生型）,传统化疗/免疫治疗,MEK抑制剂（selumetinib/mirdametinib）,MEK+FAK联合抑制；免疫检查点抑制剂；CDK4/6抑制剂联合,全球年新发约32万人；美国年新发约10万人,约3-5亿美元,Selumetinib（阿斯利康）; mirdametinib（SpringWorks/Merck KGaA）; nivolumab（BMS）
实体瘤,皮肤肿瘤,黑色素瘤,GNAQ/GNA11突变（葡萄膜黑色素瘤）,免疫治疗单药,MEK抑制剂（selumetinib）+免疫联合,Tebentafusp（gp100-CD3双特异性抗体，首个获批葡萄膜黑色素瘤药物）; 免疫检查点抑制剂联合,全球年新发约32万人；美国年新发约10万人,约3-5亿美元,Tebentafusp（Immunocore）; selumetinib（阿斯利康）; nivolumab（BMS）
实体瘤,皮肤肿瘤,黑色素瘤,NTRK融合（罕见）,传统化疗/免疫治疗,Larotrectinib/Entrectinib/Repotrectinib,Repotrectinib（新一代TRK抑制剂，克服溶剂前沿突变耐药）,全球年新发约32万人；美国年新发约10万人,约1-2亿美元,Larotrectinib（拜耳）; entrectinib（罗氏）; repotrectinib（BMS/再鼎）
实体瘤,皮肤肿瘤,黑色素瘤,无驱动基因/高肿瘤突变负荷（TMB-H）,化疗,免疫检查点抑制剂（anti-PD-1/anti-CTLA-4）,PD-1+CTLA-4双免疫（nivolumab+ipilimumab）; PD-1+LAG-3（relatlimab+nivolumab）; TIL疗法（lifileucel）,全球年新发约32万人；美国年新发约10万人,约25-35亿美元,Nivolumab+ipilimumab（BMS）; relatlimab+nivolumab（BMS）; lifileucel（Iovance）; pembrolizumab（默沙东）
实体瘤,头颈肿瘤,头颈鳞状细胞癌 HNSCC,HPV阳性（p16+）口咽癌,标准化疗/放疗,免疫检查点抑制剂（ pembrolizumab/nivolumab）,PD-1+CTLA-4联合；去强化治疗（降低放疗剂量）；治疗性疫苗（HPV E6/E7靶向）,全球年新发约89万人；美国年新发约7.1万人,约40-55亿美元,Pembrolizumab（默沙东）; nivolumab（BMS）; cetuximab（礼来）
实体瘤,头颈肿瘤,头颈鳞状细胞癌 HNSCC,HPV阴性（p16-）/吸烟相关,铂类化疗+西妥昔单抗,免疫检查点抑制剂（PD-1/PD-L1）,PD-1+CTLA-4联合；PD-1+EGFR双靶；新型ADC药物；TIL疗法,全球年新发约89万人；美国年新发约7.1万人,约40-55亿美元,Pembrolizumab（默沙东）; nivolumab（BMS）; durvalumab（阿斯利康）; cetuximab（礼来）
实体瘤,头颈肿瘤,头颈鳞状细胞癌 HNSCC,EGFR高表达（HPV阴性为主）,西妥昔单抗（Cetuximab）,西妥昔单抗+放疗/化疗,EGFR-TKI（afatinib）; 西妥昔单抗+IL-2偶联增强ADCC; 新型EGFR抗体（nimotuzumab）,全球年新发约89万人；美国年新发约7.1万人,约10-15亿美元,Cetuximab（礼来）; afatinib（勃林格殷格翰）; nimotuzumab（百泰生物）
实体瘤,头颈肿瘤,头颈鳞状细胞癌 HNSCC,EGFR靶向耐药（EGFR-K521多态性/RTK旁路激活）,西妥昔单抗,BET抑制剂（克服RTK介导耐药）; AURKB/DUSP靶向,BET抑制剂联合EGFR抗体; 多靶点TKI; 免疫检查点抑制剂转换,全球年新发约89万人；美国年新发约7.1万人,约5-8亿美元,Cetuximab（礼来）; 在研BET抑制剂（AZD5153等）
实体瘤,头颈肿瘤,头颈鳞状细胞癌 HNSCC,PD-L1高表达（CPS≥1）,铂类化疗,Pembrolizumab单药或联合化疗,PD-1+CTLA-4联合（nivolumab+ipilimumab）; PD-1+TIGIT; PD-1+LAG-3,全球年新发约89万人；美国年新发约7.1万人,约20-25亿美元,Pembrolizumab（默沙东）; nivolumab（BMS）; durvalumab（阿斯利康）
实体瘤,头颈肿瘤,头颈鳞状细胞癌 HNSCC,免疫治疗耐药（超进展/冷肿瘤）,PD-1/PD-L1抑制剂,化疗+西妥昔单抗; 仑伐替尼等抗血管生成TKI,抗血管生成TKI+PD-1联合（仑伐替尼+帕博利珠单抗）; TIL/ACT细胞疗法; 溶瘤病毒,全球年新发约89万人；美国年新发约7.1万人,约8-12亿美元,Lenvatinib（卫材）+pembrolizumab（默沙东）; nivolumab（BMS）
实体瘤,头颈肿瘤,头颈鳞状细胞癌 HNSCC,HPV16阳性复发/转移性（特定亚群）,标准化疗/免疫治疗,Versamune HPV+pembrolizumab（PDS Biotechnology）,治疗性HPV疫苗联合PD-1; ASP-1929光免疫治疗联合PD-1（Rakuten Medical）,全球年新发约89万人；美国年新发约7.1万人,约3-5亿美元,PDS Biotechnology（Versamune HPV）; Rakuten Medical（ASP-1929）; pembrolizumab（默沙东）
实体瘤,内分泌肿瘤,分化型甲状腺癌 DTC,BRAF V600E突变（乳头状癌为主）,放射性碘（RAI）治疗,RAI再分化治疗（selumetinib/dabrafenib）+RAI; BRAF+MEK抑制剂,Dabrafenib+trametinib（BRAF V600E突变晚期）;仑伐替尼/索拉非尼（多激酶抑制剂）; 选择性RET抑制剂（selpercatinib）,全球年新发约58万人；美国年新发约4.4万人,约20-30亿美元,Dabrafenib+trametinib（诺华）; lenvatinib（卫材）; sorafenib（拜耳）; selpercatinib（礼来）
实体瘤,内分泌肿瘤,分化型甲状腺癌 DTC,RAI难治性（碘抵抗）,放射性碘,仑伐替尼/索拉非尼（多激酶抑制剂）,Cabozantinib（三线）; 免疫检查点抑制剂（PD-1）; 再分化治疗（MEK抑制剂+RAI）,全球年新发约58万人；美国年新发约4.4万人,约15-20亿美元,Lenvatinib（卫材）; sorafenib（拜耳）; cabozantinib（Exelixis/益普生）
实体瘤,内分泌肿瘤,甲状腺髓样癌 MTC,RET突变（M918T等胚系/体细胞）,化疗/多激酶抑制剂（凡德他尼/卡博替尼）,Selpercatinib（LOXO-292）; Pralsetinib（BLU-667）,Selpercatinib一线（LIBRETTO-001）; pralsetinib; 卡博替尼（RET耐药后）,全球年新发约58万人；美国年新发约4.4万人,约5-8亿美元,Selpercatinib（礼来）; pralsetinib（罗氏/Blueprint）; vandetanib（阿斯利康）; cabozantinib（Exelixis）
实体瘤,内分泌肿瘤,甲状腺髓样癌 MTC,RET抑制剂耐药（RET溶剂前沿突变）,Selpercatinib/Pralsetinib,下一代RET抑制剂（TPX-0046等）,化疗; 多激酶抑制剂（cabozantinib）; 联合免疫治疗,全球年新发约58万人；美国年新发约4.4万人,约1-2亿美元,TPX-0046（Turning Point/礼来）; cabozantinib（Exelixis）
实体瘤,内分泌肿瘤,甲状腺未分化癌 ATC,BRAF V600E突变（约20-45%）,传统化疗（紫杉醇/多柔比星）,Dabrafenib+trametinib（BRAF+MEK双靶）,Dabrafenib+trametinib+pembrolizumab（三联方案）; encorafenib+binimetinib; 免疫联合,全球年新发约58万人；美国年新发约4.4万人,约2-4亿美元,Dabrafenib+trametinib（诺华）; pembrolizumab（默沙东）
实体瘤,内分泌肿瘤,甲状腺未分化癌 ATC,NTRK融合（约5-10%）,传统化疗,Larotrectinib/Entrectinib/Repotrectinib,Repotrectinib（克服溶剂前沿耐药）; 联合BRAF/MEK抑制剂（如同时存在BRAF突变）,全球年新发约58万人；美国年新发约4.4万人,约1-2亿美元,Larotrectinib（拜耳）; entrectinib（罗氏）; repotrectinib（BMS/再鼎）
实体瘤,内分泌肿瘤,甲状腺未分化癌 ATC,无驱动基因/HRAS突变/PIK3CA突变,化疗,Pembrolizumab（PD-1）+化疗,免疫检查点抑制剂+化疗; 卡博替尼（多激酶抑制）; AIC100 CAR-T（在研）,全球年新发约58万人；美国年新发约4.4万人,约2-3亿美元,Pembrolizumab（默沙东）; cabozantinib（Exelixis）; AIC100（在研）
实体瘤,内分泌肿瘤,甲状腺低分化癌 PDTC,RAS/RAF/PI3K通路突变,RAI/化疗,仑伐替尼/索拉非尼（多激酶抑制剂）,BRAF+MEK（如BRAF V600E）; RET抑制剂（如RET融合）; 免疫治疗,全球年新发约58万人；美国年新发约4.4万人,约1-2亿美元,Lenvatinib（卫材）; sorafenib（拜耳）; selpercatinib（礼来）
实体瘤,神经肿瘤,胶质母细胞瘤 GBM（IDH野生型）,MGMT启动子甲基化（化疗敏感）,替莫唑胺单药（未甲基化耐药）,替莫唑胺（TMZ）+放疗（Stupp方案）,电场治疗（TTFields/Optune）+TMZ; 免疫检查点抑制剂（PD-1）; CAR-T（在研）; 溶瘤病毒（Toca 5/Toca FC）,全球年新发约30万人；美国年新发约1.4万人,约15-20亿美元,Temozolomide（默沙东）; Optune（Novocure）; bevacizumab（罗氏）; DCVax-L（Northwest Biotherapeutics）
实体瘤,神经肿瘤,胶质母细胞瘤 GBM（IDH野生型）,MGMT非甲基化（TMZ耐药）,替莫唑胺,Bevacizumab（抗VEGF）; 电场治疗,Lomustine（CCNU）+ bevacizumab; 再挑战免疫治疗; 新型ADC; CAR-T（HER2/EGFRvIII）,全球年新发约30万人；美国年新发约1.4万人,约8-12亿美元,Bevacizumab（罗氏）; lomustine（默沙东）; Optune（Novocure）
实体瘤,神经肿瘤,胶质母细胞瘤 GBM（IDH野生型）,EGFRvIII突变/EGFR扩增,替莫唑胺/放疗,Rindopepimut（EGFRvIII疫苗，III期失败）,AMG-596（EGFRvIII双特异性T细胞接合器）; CAR-T-EGFRvIII; 第三代EGFR-TKI（如osimertinib脑转移）,全球年新发约30万人；美国年新发约1.4万人,约3-5亿美元,AMG-596（安进）; CAR-T（多家在研）; osimertinib（阿斯利康）
