一级,二级,三级,四级,五级,可能耐药的药,能克服或绕开的药物/方向,患者人数量级,全球药物市场空间,代表药物 / 公司
实体瘤,肺癌,NSCLC 非小细胞肺癌,EGFR 经典敏感突变（19del / L858R）,初治一线,,奥希替尼（Osimertinib）；Amivantamab+拉泽替尼（Lazertinib）；一代TKI（吉非替尼/厄洛替尼/埃克替尼）,全球年新发约85-90万人；美国年新发约20.5万人,约300-350亿美元（NSCLC整体）,奥希替尼/阿斯利康；Amivantamab/强生；拉泽替尼/杨森；吉非替尼/阿斯利康；埃克替尼/贝达药业
实体瘤,肺癌,NSCLC 非小细胞肺癌,EGFR 经典敏感突变（19del / L858R）,T790M 获得性耐药（一代/二代TKI后）,一代EGFR-TKI（吉非替尼/厄洛替尼/埃克替尼）；二代EGFR-TKI（阿法替尼/达可替尼）,奥希替尼（Osimertinib）；伏美替尼（Furmonertinib）；阿美替尼（Almonertinib）；贝福替尼（Befotertinib）,全球年新发约85-90万人；美国年新发约20.5万人,约100-120亿美元（EGFR-TKI市场）,奥希替尼/阿斯利康；伏美替尼/艾力斯；阿美替尼/豪森药业；贝福替尼/贝达药业
实体瘤,肺癌,NSCLC 非小细胞肺癌,EGFR 经典敏感突变（19del / L858R）,C797S 获得性耐药（奥希替尼后）,奥希替尼（Osimertinib）；伏美替尼；阿美替尼,Amivantamab+化疗（±拉泽替尼）；四待EGFR-TKI（BLU-945、BBT-176、BDTX-1535）；Brigatinib+西妥昔单抗；化疗+抗血管生成,全球年新发约85-90万人；美国年新发约20.5万人,约20-30亿美元（耐药后市场）,Amivantamab/强生；BLU-945/Blueprint；BBT-176/百力司康；BDTX-1535/Black Diamond
实体瘤,肺癌,NSCLC 非小细胞肺癌,EGFR 20外显子插入突变（EGFR ex20ins）,初治一线,传统一代/二代/三代EGFR-TKI（高度耐药）,Amivantamab+化疗（PAPILLON方案）；舒沃替尼（Sunvozertinib）；Zipalertinib；化疗±免疫治疗,全球年新发约8-10万人；美国年新发约2万人,约15-25亿美元,Amivantamab/强生；舒沃替尼/迪哲医药；Zipalertinib/Blueprint；莫博替尼/武田（撤市）
实体瘤,肺癌,NSCLC 非小细胞肺癌,EGFR 20外显子插入突变（EGFR ex20ins）,Amivantamab/TKI耐药后,Amivantamab；舒沃替尼；莫博替尼,化疗±免疫；抗血管生成药物；临床试验（四代TKI）,全球年新发约8-10万人；美国年新发约2万人,约15-25亿美元,同上
实体瘤,肺癌,NSCLC 非小细胞肺癌,ALK 融合重排,初治一线,,阿来替尼（Alectinib）；洛拉替尼（Lorlatinib）；布格替尼（Brigatinib）；恩沙替尼（Ensartinib）,全球年新发约5-7万人；美国年新发约1.5万人,约20-30亿美元,阿来替尼/罗氏；洛拉替尼/辉瑞；布格替尼/武田；恩沙替尼/贝达药业；克唑替尼/辉瑞
实体瘤,肺癌,NSCLC 非小细胞肺癌,ALK 融合重排,ALK-TKI耐药（继发突变/G1202R等）,克唑替尼（Crizotinib）；阿来替尼；布格替尼；塞瑞替尼,洛拉替尼（Lorlatinib，高效覆盖G1202R等耐药突变）；化疗±免疫；Repotrectinib（ROS1/ALK）,全球年新发约5-7万人；美国年新发约1.5万人,约20-30亿美元,洛拉替尼/辉瑞；Repotrectinib/ Turning Point/再鼎
实体瘤,肺癌,NSCLC 非小细胞肺癌,ROS1 融合重排,初治一线,,恩曲替尼（Entrectinib）；Repotrectinib；克唑替尼（Crizotinib）；Taletrectinib,全球年新发约2-3万人；美国年新发约5000-8000人,约5-8亿美元,恩曲替尼/罗氏；Repotrectinib/再鼎；克唑替尼/辉瑞；Taletrectinib/葆元医药
实体瘤,肺癌,NSCLC 非小细胞肺癌,ROS1 融合重排,ROS1-TKI耐药（溶剂前沿突变）,克唑替尼；恩曲替尼,Repotrectinib（针对溶剂前沿突变）；洛拉替尼；化疗；Taletrectinib,全球年新发约2-3万人；美国年新发约5000-8000人,约5-8亿美元,Repotrectinib/再鼎；洛拉替尼/辉瑞
实体瘤,肺癌,NSCLC 非小细胞肺癌,KRAS G12C 突变,初治/经治（一线倾向免疫联合）,传统化疗；免疫单药（PD-L1低表达时疗效有限）,Sotorasib（Lumakras）；Adagrasib（Krazati）；Divarasib；Glecirasib；Olomorasib；IBI351（Fulzerasib）,全球年新发约25-30万人；美国年新发约5-6万人,约15-25亿美元,Sotorasib/安进；Adagrasib/Mirati-BMS；Divarasib/罗氏；Glecirasib/加科思；Olomorasib/礼来；IBI351/信达
