一级,二级,三级,四级,五级,可能耐药的药,能克服或绕开的药物/方向,患者人数量级,全球药物市场空间,代表药物 / 公司
实体瘤,消化道肿瘤,结直肠癌 CRC,RAS/BRAF野生型（左半结肠）,一线抗EGFR治疗（西妥昔单抗/帕尼单抗）,化疗后进展；获得性RAS/BRAF突变；EGFR胞外域突变,西妥昔单抗再挑战（RAS克隆清除）；化疗联合抗EGFR；抗HER2双抗（HER2扩增时）,全球年新发约190万人；美国年新发约15万人,约150-200亿美元,西妥昔单抗/帕尼单抗（默克/安进）；贝伐珠单抗（罗氏）；TAS-102（大鹏/施贵宝）
实体瘤,消化道肿瘤,结直肠癌 CRC,RAS/BRAF野生型（左半结肠）,抗EGFR获得性耐药（RAS突变克隆）,西妥昔单抗/帕尼单抗（获得性KRAS/NRAS/BRAF突变）,RAS克隆清除后西妥昔单抗再挑战；抗HER2联合（T-DXd）；BRAF抑制剂联合（Encorafenib+西妥昔单抗）,全球年新发约190万人；美国年新发约15万人,约150-200亿美元,西妥昔单抗（默克/百时美施贵宝）；Encorafenib（Array/Pfizer）
实体瘤,消化道肿瘤,结直肠癌 CRC,KRAS G12C突变,一线化疗后进展,传统化疗（FOLFOX/FOLFIRI）；抗EGFR单抗无效,KRAS G12C抑制剂联合抗EGFR单抗（Adagrasib+西妥昔单抗；Sotorasib+帕尼单抗）,全球年新发约190万人；美国年新发约15万人,约150-200亿美元,Adagrasib（Mirati/百时美施贵宝）；Sotorasib（安进）；Divarasib（罗氏）
实体瘤,消化道肿瘤,结直肠癌 CRC,KRAS G12C突变,KRAS G12C抑制剂耐药,Sotorasib/Adagrasib单药（继发性RAS突变；旁路激活）,联合抗EGFR（西妥昔单抗）；联合SHP2抑制剂；化疗联合免疫治疗,全球年新发约190万人；美国年新发约15万人,约150-200亿美元,Adagrasib+西妥昔单抗（Mirati）；Sotorasib+帕尼单抗（安进）
实体瘤,消化道肿瘤,结直肠癌 CRC,BRAF V600E突变,一线化疗后进展,传统化疗；抗EGFR单抗无效,BRAF抑制剂+抗EGFR+MEK抑制剂（Encorafenib+西妥昔单抗+Binimetinib）；免疫治疗（MSI-H时）,全球年新发约190万人；美国年新发约15万人,约150-200亿美元,Encorafenib（Array/Pfizer）；西妥昔单抗（默克/百时美施贵宝）；Vemurafenib（罗氏）
实体瘤,消化道肿瘤,结直肠癌 CRC,HER2扩增（RAS/BRAF野生型）,一线化疗后进展,抗EGFR单抗（HER2扩增导致抗EGFR耐药）,抗HER2双抗（T-DXd/DS-8201）；帕妥珠单抗+曲妥珠单抗；拉帕替尼+曲妥珠单抗,全球年新发约190万人；美国年新发约15万人,约150-200亿美元,T-DXd/DS-8201（第一三共/阿斯利康）；曲妥珠单抗（罗氏）；帕妥珠单抗（罗氏）
实体瘤,消化道肿瘤,结直肠癌 CRC,MSI-H/dMMR,一线免疫治疗进展,PD-1抑制剂（Pembrolizumab/Nivolumab）耐药（JAK/STAT突变；β2微球蛋白缺失）,CTLA-4联合（Nivolumab+Ipilimumab）；LAG-3抑制剂；化疗/TAS-102,全球年新发约190万人；美国年新发约15万人,约150-200亿美元,Pembrolizumab（默沙东）；Nivolumab（百时美施贵宝）；Dostarlimab（GSK）
实体瘤,消化道肿瘤,结直肠癌 CRC,NTRK融合,一线化疗后进展,传统化疗（响应有限）,NTRK抑制剂（Larotrectinib；Entrectinib）,全球年新发约190万人；美国年新发约15万人,约150-200亿美元,Larotrectinib（拜耳）；Entrectinib（罗氏）
实体瘤,消化道肿瘤,结直肠癌 CRC,pMMR/MSS 无驱动基因（右半结肠）,一线化疗+抗血管生成后进展,贝伐珠单抗/阿柏西普耐药（FGF/FGFR旁路激活；Ang-2上调）,瑞戈非尼/呋喹替尼（多靶点TKI）；TAS-102；抗EGFR（仅RAS野生型左半结肠）,全球年新发约190万人；美国年新发约15万人,约150-200亿美元,瑞戈非尼（拜耳）；呋喹替尼（和黄/武田）；TAS-102（大鹏/施贵宝）
实体瘤,消化道肿瘤,胃癌 Gastric Cancer,HER2阳性（IHC 3+或2+且FISH+）,一线曲妥珠单抗+化疗后进展,曲妥珠单抗（HER2/HER3异源二聚体；PIK3CA突变；PTEN缺失；MET扩增）,T-DXd/DS-8201（HER2 ADC）；维迪西妥单抗（RC48）；HER2双抗（泽尼达妥单抗）；HER2 TKI（吡咯替尼）,全球年新发约100万人；美国年新发约2.7万人,约50-80亿美元,曲妥珠单抗（罗氏）；T-DXd（第一三共/阿斯利康）；泽尼达妥单抗（Jazz/康宁杰瑞）；维迪西妥单抗（荣昌）
实体瘤,消化道肿瘤,胃癌 Gastric Cancer,HER2阳性（IHC 3+或2+且FISH+）,HER2 ADC（T-DXd）耐药,T-DXd（旁路激活：MET/EGFR；HER2表达下调；多药耐药泵）,联合抗EGFR/MET抑制剂；联合免疫治疗；化疗联合另一种HER2靶向药物,全球年新发约100万人；美国年新发约2.7万人,约50-80亿美元,T-DXd（第一三共/阿斯利康）；帕妥珠单抗（罗氏）
实体瘤,消化道肿瘤,胃癌 Gastric Cancer,CLDN18.2阳性（HER2阴性）,一线化疗后进展,传统化疗（响应有限）,CLDN18.2单抗（Zolbetuximab/GAS6）联合化疗；CLDN18.2 CAR-T；CLDN18.2 ADC,全球年新发约100万人；美国年新发约2.7万人,约50-80亿美元,Zolbetuximab（安斯泰来）；GAS6（创胜集团）；CLDN18.2 ADC（信达/礼来）
实体瘤,消化道肿瘤,胃癌 Gastric Cancer,MSI-H/dMMR,一线免疫治疗进展,PD-1抑制剂（JAK/STAT突变；抗原呈递缺陷）,CTLA-4联合；LAG-3/TIM-3抑制剂；化疗,全球年新发约100万人；美国年新发约2.7万人,约50-80亿美元,Pembrolizumab（默沙东）；Nivolumab（百时美施贵宝）；Dostarlimab（GSK）
实体瘤,消化道肿瘤,胃癌 Gastric Cancer,PD-L1阳性（CPS≥5）,一线免疫+化疗后进展,PD-1/PD-L1抑制剂（LAG-3/TIM-3上调；Treg浸润；Wnt/β-catenin通路）,免疫联合抗血管生成（雷莫芦单抗+帕博利珠单抗）；抗TGF-β；CTLA-4联合；化疗,全球年新发约100万人；美国年新发约2.7万人,约50-80亿美元,Pembrolizumab+化疗（默沙东）；Nivolumab+化疗（百时美施贵宝）；雷莫芦单抗（礼来）
实体瘤,消化道肿瘤,胃癌 Gastric Cancer,FGFR2b扩增（HER2阴性）,一线化疗后进展,传统化疗（响应有限）,FGFR2b单抗（Bemarituzumab）；FGFR抑制剂（Pemigatinib）,全球年新发约100万人；美国年新发约2.7万人,约50-80亿美元,Bemarituzumab（安进）；Pemigatinib（Incyte/信达）
实体瘤,消化道肿瘤,胃癌 Gastric Cancer,EBV阳性,一线化疗后进展,传统化疗,PD-1抑制剂（EBV+胃癌对免疫治疗高度敏感）；化疗联合免疫治疗,全球年新发约100万人；美国年新发约2.7万人,约50-80亿美元,Pembrolizumab（默沙东）；Nivolumab（百时美施贵宝）
实体瘤,消化道肿瘤,胃癌 Gastric Cancer,无驱动基因/HER2阴性（晚期）,一线化疗后进展,化疗（5-FU/铂类/紫杉类耐药；ABC转运体外排；TS酶上调）,雷莫芦单抗（抗VEGFR-2）；阿帕替尼；TAS-102；免疫联合化疗,全球年新发约100万人；美国年新发约2.7万人,约50-80亿美元,雷莫芦单抗（礼来）；阿帕替尼（恒瑞）；TAS-102（大鹏/施贵宝）
实体瘤,消化道肿瘤,食管癌 Esophageal Cancer,食管鳞癌 ESCC（PD-L1阳性 CPS≥10）,一线免疫+化疗后进展,PD-1/PD-L1抑制剂（TIM-3/LAG-3上调；Treg/MDSC浸润；JAK/STAT突变）,双免疫（Nivolumab+Ipilimumab）；抗TGF-β；化疗联合抗血管生成；局部放疗联合免疫,全球年新发约60万人；美国年新发约2万人,约20-40亿美元,Pembrolizumab+化疗（默沙东）；Nivolumab+化疗（百时美施贵宝）；斯鲁利单抗（复宏汉霖）
实体瘤,消化道肿瘤,食管癌 Esophageal Cancer,食管腺癌/GEJ（HER2阳性）,一线曲妥珠单抗+化疗后进展,曲妥珠单抗（HER2/HER3异源二聚体；PIK3CA突变；MET扩增）,T-DXd/DS-8201；帕妥珠单抗+曲妥珠单抗；雷莫芦单抗+帕博利珠单抗,全球年新发约60万人；美国年新发约2万人,约20-40亿美元,曲妥珠单抗（罗氏）；T-DXd（第一三共/阿斯利康）；雷莫芦单抗（礼来）
