一级,二级,三级,四级,五级,可能耐药的药,能克服或绕开的药物/方向,患者人数量级,全球药物市场空间,代表药物 / 公司
实体瘤,前列腺癌,转移性激素敏感性前列腺癌 mHSPC,AR通路驱动型（无HRR突变）,ADT+阿比特龙/恩扎卢胺一线治疗后进展,一代抗雄（比卡鲁胺）；传统ADT,二代AR抑制剂（恩扎卢胺、阿帕他胺、达罗他胺）三联方案；ADT+多西他赛化疗,全球年新发约146.7万人；美国年新发约29.9万人（其中mHSPC约占新发转移性患者的60%）,约40-60亿美元（mHSPC药物市场，2024）,阿帕他胺Erleada/强生；恩扎卢胺Xtandi/安斯泰来+辉瑞；达罗他胺Nubeqa/拜耳；阿比特龙Zytiga/强生
实体瘤,前列腺癌,转移性激素敏感性前列腺癌 mHSPC,AR通路驱动型（伴HRR突变，BRCA1/2等）,ADT+AR抑制剂治疗后进展,单纯AR抑制剂治疗；未联合PARP抑制剂,ADT+AR抑制剂+PARP抑制剂三联（PROpel/MAGNITUDE方案）,全球年新发约146.7万人；HRR突变占mCRPC的20-30%,约15-25亿美元（PARP抑制剂在前列腺癌的市场）,奥拉帕利Lynparza/阿斯利康+默沙东；尼拉帕利Zejula/再鼎；他拉唑帕利Talzenna/辉瑞；卢卡帕利Rubraca/Clovis
实体瘤,前列腺癌,非转移性去势抵抗性前列腺癌 nmCRPC,PSA快速上升型（PSADT≤10个月）,单纯ADT维持治疗失败,传统ADT单药；一代抗雄药物,二代AR抑制剂（恩扎卢胺、阿帕他胺、达罗他胺）延长MFS；PSMA靶向放疗辅助,全球nmCRPC存量患者约15-20万人；美国年新发约4-5万人,约25-35亿美元（nmCRPC药物市场）,恩扎卢胺Xtandi/安斯泰来；阿帕他胺Erleada/强生；达罗他胺Nubeqa/拜耳
实体瘤,前列腺癌,转移性去势抵抗性前列腺癌 mCRPC,AR阳性腺癌（ARPC）- AR扩增/突变/剪接变体,AR F877L/T878A等LBD突变；AR-V7剪接变体；AR扩增,恩扎卢胺；阿比特龙；阿帕他胺；达罗他胺,AR N端抑制剂（EPI-7386）；AR PROTAC降解剂（ARV-471类似物）；PSMA靶向RLT（177Lu-PSMA-617）；多西他赛/卡巴他赛化疗,全球mCRPC存量患者约40-50万人；美国年新发约3-4万人进展至mCRPC,约120-150亿美元（mCRPC整体药物市场）,恩扎卢胺Xtandi/安斯泰来；阿比特龙Zytiga/强生；Pluvicto/诺华；卡巴他赛Jevtana/赛诺菲；ARV-110/Arvinas（临床）
实体瘤,前列腺癌,转移性去势抵抗性前列腺癌 mCRPC,AR阳性腺癌（ARPC）- 经新型内分泌治疗+化疗后进展,多西他赛/卡巴他赛耐药；AR抑制剂继发耐药,多西他赛；卡巴他赛；恩扎卢胺；阿比特龙序贯治疗,177Lu-PSMA-617（Pluvicto）PSMA靶向放射配体疗法；PARP抑制剂（HRR突变者）；联合免疫治疗（帕博利珠单抗）,全球mCRPC后线患者约15-20万人,约30-50亿美元（PSMA靶向RLT及后线市场）,Pluvicto/诺华；Keytruda/默沙东；Xofigo/拜耳（氯化镭223）；Sipuleucel-T/Valneva（细胞免疫）
实体瘤,前列腺癌,转移性去势抵抗性前列腺癌 mCRPC,HRR突变型（BRCA1/2、ATM、CHEK2等）,PARP抑制剂获得性耐药；AR抑制剂+PARP抑制剂联合后进展,奥拉帕利；卢卡帕利；尼拉帕利；他拉唑帕利,PARP抑制剂+AR抑制剂联合维持；铂类化疗（cisplatin/carboplatin）；ATR抑制剂（camonsertib）；RAD51抑制剂（临床）,HRR突变占mCRPC的20-30%；全球约8-15万HRR突变mCRPC患者,约20-35亿美元（前列腺癌PARP抑制剂市场）,奥拉帕利Lynparza/阿斯利康+默沙东；卢卡帕利Rubraca/Clovis；他拉唑帕利Talzenna/辉瑞；尼拉帕利Zejula/再鼎
实体瘤,前列腺癌,转移性去势抵抗性前列腺癌 mCRPC,HRR突变型 - BRCA2双等位基因缺失/RB1缺失,PARP抑制剂；AR抑制剂,PARP抑制剂（奥拉帕利等）,免疫检查点抑制剂（帕博利珠单抗）联合方案；铂类化疗；CBP/p300抑制剂；B7H3-ADC（ifinatamab deruxtecan）,BRCA2缺失约占mCRPC的5-8%；RB1缺失常与NE转化相关,约5-10亿美元（精准治疗亚群）,Keytruda/默沙东；ifinatamab deruxtecan/第一三共+默沙东（I/II期）；铂类化疗
实体瘤,前列腺癌,转移性去势抵抗性前列腺癌 mCRPC,PSMA高表达型（PSMA-PET阳性）,传统化疗（多西他赛）；AR抑制剂；骨转移靶向治疗,多西他赛；卡巴他赛；AR抑制剂序贯治疗,177Lu-PSMA-617（Pluvicto）PSMA靶向放射配体疗法；225Ac-PSMA（α核素，临床）；PSMA/CD3双抗（临床）,PSMA表达>80%mCRPC；全球适用RLT的mCRPC约15-25万人,约25-40亿美元（PSMA靶向治疗市场）,Pluvicto/诺华；177Lu-PSMA-I&T（临床）；225Ac-PSMA-617（临床，多家机构）；PSMAfore/Point Biopharma（临床）
实体瘤,前列腺癌,转移性去势抵抗性前列腺癌 mCRPC,PSMA低表达/阴性型（PSMA-PET阴性）,PSMA靶向RLT（Pluvicto）；PSMA-ADC,177Lu-PSMA-617；PSMA-ADC,B7H3-ADC（ifinatamab deruxtecan）；TROP2-ADC（sacituzumab govitecan）；传统化疗；FAP-RLT（临床）,PSMA低表达约占mCRPC的15-20%；约5-10万人,约5-15亿美元（PSMA阴性后线市场）,ifinatamab deruxtecan/第一三共+默沙东；Trodelvy/吉利德；卡巴他赛Jevtana/赛诺菲
实体瘤,前列腺癌,转移性去势抵抗性前列腺癌 mCRPC,治疗相关神经内分泌转化（NEPC/t-SCNC）,RB1/TP53双缺失；AR抑制剂长期治疗后谱系可塑性转化,所有AR靶向治疗（恩扎卢胺、阿比特龙、阿帕他胺等）；PSMA靶向治疗,铂类+依托泊苷小细胞肺癌方案（cisplatin/etoposide）；卡铂+依托泊苷；免疫治疗（帕博利珠单抗）；B7H3-ADC； lurbinectedin（临床）,NEPC占mCRPC的15-25%（治疗相关转化）；全球约5-10万NEPC患者,约5-15亿美元（NEPC精准治疗市场，以化疗+免疫为主）,顺铂+依托泊苷（标准化疗）；Keytruda/默沙东；ifinatamab deruxtecan/第一三共（临床）； lurbinectedin/Jazz Pharma（临床）
实体瘤,前列腺癌,转移性去势抵抗性前列腺癌 mCRPC,MSI-H/dMMR型（微卫星不稳定）,传统化疗；AR抑制剂,化疗；内分泌治疗,帕博利珠单抗（Keytruda，FDA批准不限癌种MSI-H适应症）；dostarlimab；免疫单药即可获益,MSI-H/dMMR在前列腺癌中约3-5%；全球约1-2万人,约2-5亿美元（MSI-H前列腺癌免疫治疗市场）,Keytruda/默沙东；dostarlimab Jemperli/葛兰素史克
实体瘤,前列腺癌,转移性去势抵抗性前列腺癌 mCRPC,骨转移为主型（骨转移>80%）,骨保护剂（denosumab）单用；单纯化疗；单纯AR抑制剂,单纯化疗；AR抑制剂,氯化镭223Ra（Xofigo，α粒子靶向骨转移）；地舒单抗/唑来膦酸骨保护；177Lu-PSMA-617（PSMA+骨转移）；联合AR抑制剂,骨转移占mCRPC的>70%；全球约30-40万骨转移mCRPC患者,约10-20亿美元（骨靶向治疗市场）,Xofigo/拜耳；地舒单抗Prolia/Xgeva/安进；Pluvicto/诺华；唑来膦酸/诺华
实体瘤,膀胱癌/尿路上皮癌,肌层浸润性膀胱癌 MIBC,顺铂耐受型（cisplatin-eligible）,吉西他滨+顺铂（GC）新辅助化疗后未达pCR；术后复发,单纯吉西他滨+顺铂；MVAC方案,免疫检查点抑制剂辅助（帕博利珠单抗，KEYNOTE-123）；纳武利尤单抗辅助；阿维鲁单抗（BAVENCIO）维持；enfortumab vedotin+帕博利珠单抗新辅助（EV-303）,全球年新发约57.3万人；MIBC约占膀胱癌的20-30%；美国年新发约8.1万人,约20-40亿美元（MIBC围手术期及辅助治疗市场）,Keytruda/默沙东；Opdivo/百时美施贵宝；BAVENCIO/默克+辉瑞；Padcev+Keytruda/安斯泰来+辉瑞+Seagen
实体瘤,膀胱癌/尿路上皮癌,肌层浸润性膀胱癌 MIBC,顺铂不耐受型（cisplatin-unfit）,含铂化疗；传统顺铂方案,顺铂；甲氨蝶呤+长春碱+阿霉素+顺铂（MVAC）,免疫检查点抑制剂（帕博利珠单抗、阿替利珠单抗）一线；enfortumab vedotin+帕博利珠单抗（EV-103）联合方案；卡铂+吉西他滨替代方案,顺铂不耐受约占MIBC的40-50%；全球约5-8万顺铂不耐受MIBC患者,约10-20亿美元（顺铂不耐受一线市场）,Keytruda/默沙东；Tecentriq/罗氏；Padcev+Keytruda/安斯泰来+辉瑞+Seagen；Jemperli/葛兰素史克
实体瘤,膀胱癌/尿路上皮癌,转移性尿路上皮癌 mUC,一线PD-L1高表达型（CPS≥10）,单纯含铂化疗；单纯免疫治疗,吉西他滨+顺铂/卡铂；化疗单药,帕博利珠单抗+含铂化疗（KEYNOTE-361）；阿替利珠单抗+化疗（IMvigor130，尽管未达OS终点）；enfortumab vedotin+帕博利珠单抗（一线联合，已获FDA批准）,mUC占膀胱癌的约20-25%；全球约12-15万mUC患者；美国约1.7万死亡,约15-30亿美元（mUC一线市场）,Keytruda/默沙东；Tecentriq/罗氏；Padcev+Keytruda/安斯泰来+辉瑞+Seagen；cisplatin/gemcitabine（化疗）
实体瘤,膀胱癌/尿路上皮癌,转移性尿路上皮癌 mUC,一线顺铂不耐受型（无PD-L1筛选）,顺铂化疗；甲氨蝶呤+长春碱+阿霉素+顺铂（MVAC）,MVAC；顺铂+吉西他滨,卡铂+吉西他滨；帕博利珠单抗单药（KEYNOTE-052，FDA批准）；enfortumab vedotin+帕博利珠单抗；阿维鲁单抗（BAVENCIO）,顺铂不耐受约占mUC的40-50%；全球约5-8万顺铂不耐受mUC患者,约10-20亿美元（顺铂不耐受mUC一线市场）,Keytruda/默沙东；BAVENCIO/默克+辉瑞；Padcev+Keytruda/安斯泰来+辉瑞+Seagen；carboplatin+gemcitabine（化疗）
实体瘤,膀胱癌/尿路上皮癌,转移性尿路上皮癌 mUC,FGFR3突变/融合型（约15-20% mUC）,"含铂化疗；PD-1/PD-L1免疫治疗（尤其FGFR3突变可能呈""免疫冷""肿瘤）",顺铂+吉西他滨；帕博利珠单抗；阿替利珠单抗,厄达替尼erdafitinib（Balversa，FGFR抑制剂，FDA+中国批准）；维普格拉替尼（临床，联合免疫）；FGFR3抑制剂联合厄达替尼+PD-1（FORAGER-1）,FGFR3改变占mUC的15-20%；全球约2-3万FGFR3突变mUC患者,约5-15亿美元（FGFR3靶向治疗市场）,Balversa/强生；futibatinib/大鹏制药（胆管癌，膀胱癌临床）；LOXO-435/礼来（临床）；infigratinib/BridgeBio（临床）
实体瘤,膀胱癌/尿路上皮癌,转移性尿路上皮癌 mUC,FGFR3抑制剂耐药型（看门人突变等）,厄达替尼erdafitinib；futibatinib,厄达替尼；futibatinib,泛ERBB抑制剂（AZD8931）联合；MEK抑制剂（曲美替尼）联合；不同载荷ADC（LY4052031，拓扑异构酶I载荷Nectin-4 ADC）；免疫联合靶向（逆转免疫抑制）,FGFR3耐药约占FGFR3突变患者的30-50%；全球约0.5-1万,约2-5亿美元（FGFR3耐药后市场）,曲美替尼Mekinist/诺华；AZD8931/阿斯利康（临床）；LY4052031/礼来（临床）；LOXO-435/礼来（临床）
实体瘤,膀胱癌/尿路上皮癌,转移性尿路上皮癌 mUC,Nectin-4高表达型（铂类+免疫治疗后进展）,含铂化疗；PD-1/PD-L1免疫治疗；传统化疗,顺铂+吉西他滨；帕博利珠单抗；纳武利尤单抗；紫杉醇化疗,enfortumab vedotin（Padcev，Nectin-4 ADC，已获批）；Padcev+帕博利珠单抗（一线联合）；sacituzumab govitecan（TROP2 ADC）,Nectin-4高表达占mUC的>70%；全球约10-15万铂类/免疫治疗后进展mUC患者,约20-40亿美元（Nectin-4 ADC市场）,Padcev/安斯泰来+辉瑞+Seagen；Trodelvy/吉利德；Keytruda/默沙东（联合方案）；Opdivo/百时美施贵宝
实体瘤,膀胱癌/尿路上皮癌,转移性尿路上皮癌 mUC,Nectin-4 ADC（Padcev）耐药型,Padcev（enfortumab vedotin）单药或联合治疗后进展,Padcev；MMAE载荷ADC,TROP2 ADC（sacituzumab govitecan）；不同载荷Nectin-4 ADC（LY4052031，拓扑异构酶I载荷）；Nectin-4/TROP2双靶ADC（AVZO-103）；传统化疗；临床试验,Padcev耐药占治疗患者的20-30%；全球约2-5万,约5-15亿美元（Padcev耐药后市场）,Trodelvy/吉利德；LY4052031/礼来（临床）；AVZO-103/Avenzo（临床，FDA快速通道）；化疗（paclitaxel/docetaxel）
