一级,二级,三级,四级,五级,可能耐药的药,能克服或绕开的药物/方向,患者人数量级,全球药物市场空间,代表药物 / 公司
实体瘤,乳腺癌,HR+/HER2- 乳腺癌,Luminal A / Luminal B,早期辅助/新辅助,内分泌治疗（他莫昔芬/AI）单药耐药；CDK4/6抑制剂+ET耐药,CDK4/6抑制剂（哌柏西利、瑞波西利、阿贝西利）联合芳香化酶抑制剂/氟维司群；淋巴结阳性高危者考虑辅助化疗,全球年新发约230万人；美国年新发约29万人；HR+/HER2-约占全部乳腺癌65-70%,约370-400亿美元（2024年，全部乳腺癌药物市场）；HR+/HER2-靶向药约97亿美元,哌柏西利Pfizer；瑞波西利Novartis；阿贝西利Eli Lilly；氟维司群AstraZeneca
实体瘤,乳腺癌,HR+/HER2- 乳腺癌,Luminal型,CDK4/6i+ET耐药（ESR1突变、RB1缺失、CDK6扩增）,哌柏西利/瑞波西利/阿贝西利联合内分泌治疗进展,口服SERD（艾拉司群elacestrant、卡米司群camizestrant）；PI3Kα抑制剂阿培利司（PIK3CA突变）；AKT抑制剂卡帕塞替尼（CAPItello-291）；TROP2 ADC（Dato-DXd、SG）；HDAC抑制剂西达本胺/恩替诺特,全球年新发约230万人；HR+/HER2-晚期转移患者约30-40万人,约97-110亿美元（HR+/HER2-靶向药市场）,艾拉司群Menarini；阿培利司Novartis；卡帕塞替尼AstraZeneca；Dato-DXd AstraZeneca/Daiichi Sankyo；SG Gilead；西达本胺Chipscreen
实体瘤,乳腺癌,HR+/HER2- 乳腺癌,Luminal型,ESR1突变（Y537S/D538G等）导致内分泌耐药,他莫昔芬/AI/氟维司群耐药；部分CDK4/6i耐药,口服SERD（艾拉司群、卡米司群）；EMERALD/AMEERA-3已证实疗效；联合AKT或PI3K抑制剂,ESR1突变在晚期HR+患者中占20-40%,约15-25亿美元（内分泌耐药后线市场）,艾拉司群Menarini/Radius；卡米司群AstraZeneca；氟维司群AstraZeneca
实体瘤,乳腺癌,HR+/HER2- 乳腺癌,HER2低表达（IHC 1+或IHC 2+/ISH-）,HR+/HER2低表达,标准化疗或内分泌治疗；传统抗HER2单抗无效,德曲妥珠单抗T-DXd（DESTINY-Breast04）；戈沙妥珠单抗SG；TROP2 ADC,HER2低表达约占HR+乳腺癌的50-60%,约50-70亿美元（HER2低表达+HR+细分市场）,T-DXd AstraZeneca/Daiichi Sankyo；SG Gilead
实体瘤,乳腺癌,HER2阳性乳腺癌,HER2+（HR+）,曲妥珠单抗/帕妥珠单抗耐药（PI3K/AKT通路、PTEN缺失）,曲妥珠单抗+帕妥珠单抗（一线）耐药；T-DM1（二线）耐药,德曲妥珠单抗T-DXd（DESTINY-Breast03/09）；图卡替尼+曲妥珠单抗+卡培他滨（HER2CLIMB，尤其脑转移）；马吉妥昔单抗+化疗；吡咯替尼（恒瑞）,HER2+约占全部乳腺癌15-20%；全球年新发约35-46万人,约135-150亿美元（HER2+乳腺癌靶向药市场）,曲妥珠单抗Roche；帕妥珠单抗Roche；T-DM1Roche；T-DXd AstraZeneca/Daiichi Sankyo；图卡替尼Seagen/Pfizer；吡咯替尼Hengrui
实体瘤,乳腺癌,HER2阳性乳腺癌,HER2+（HR-）,HER2-enriched型,曲妥珠单抗+帕妥珠单抗耐药；T-DM1进展,T-DXd（DESTINY-Breast03）；图卡替尼联合方案；含铂化疗+曲妥珠单抗；临床试验：HER2-ADC、HER2双抗,HER2+（HR-）约占全部乳腺癌5-8%,约40-50亿美元（HER2+ HR-细分市场）,T-DXd AstraZeneca/Daiichi Sankyo；图卡替尼Pfizer；T-DM1 Roche
实体瘤,乳腺癌,HER2阳性乳腺癌,HER2+伴脑转移,HER2+乳腺癌CNS转移,大分子抗HER2药物（曲妥珠单抗、T-DM1）难以透过血脑屏障,图卡替尼+曲妥珠单抗+卡培他滨（HER2CLIMB，显著改善CNS-PFS）；T-DXd（DESTINY-Breast系列，显示颅内活性）；小分子TKI（拉帕替尼、来那替尼、吡咯替尼）,HER2+晚期乳腺癌中约30-50%发生脑转移,约15-20亿美元,图卡替尼Pfizer；T-DXd AstraZeneca/Daiichi Sankyo；吡咯替尼Hengrui；来那替尼Puma
实体瘤,乳腺癌,三阴性乳腺癌TNBC,TNBC,PD-L1阳性（CPS≥10）一线免疫耐药,帕博利珠单抗+化疗（KEYNOTE-522/355）进展；阿替利珠单抗+化疗（IMpassion，已撤美国适应症）,戈沙妥珠单抗SG（TROP2 ADC）；德达博妥单抗Dato-DXd；TROPION-Breast02/03；芦康沙妥珠单抗（SKB264/MK-2870，科伦/默沙东）；铂类化疗；PARP抑制剂（gBRCA突变）,TNBC约占全部乳腺癌15-20%；全球年新发约35-46万人,约12-18亿美元（TNBC靶向+免疫市场）,帕博利珠单抗Merck；阿替利珠单抗Roche；SG Gilead；Dato-DXd AstraZeneca/Daiichi；芦康沙妥珠单抗Merck/科伦博泰
实体瘤,乳腺癌,三阴性乳腺癌TNBC,TNBC伴gBRCA1/2突变,gBRCA突变，PARP抑制剂耐药,奥拉帕利/他拉唑帕利耐药（BRCA回复突变、药物外排、复制叉稳定）,铂类化疗（顺铂/卡铂）；SG；Dato-DXd；免疫治疗（如PD-L1+）；临床探索：ATR抑制剂、WEE1抑制剂、PD-(L)1+PARPi联合,gBRCA突变占TNBC的15-20%；占全部乳腺癌的2-3%,约5-8亿美元（BRCA突变TNBC）,奥拉帕利AstraZeneca；他拉唑帕利Pfizer；SG Gilead；Dato-DXd AstraZeneca/Daiichi
实体瘤,乳腺癌,三阴性乳腺癌TNBC,TNBC,免疫检查点抑制剂耐药（T细胞耗竭、抗原丢失）,PD-1/PD-L1抑制剂（帕博利珠单抗、阿替利珠单抗）进展,TROP2 ADC（SG、Dato-DXd、芦康沙妥珠单抗）；LAG-3抑制剂；TIGIT抑制剂（临床试验）；溶瘤病毒+免疫联合；个体化肿瘤疫苗,TNBC中PD-L1+约占40-50%,约8-12亿美元,SG Gilead；Dato-DXd AstraZeneca/Daiichi；relatlimab BMS；tiragolumab Roche
实体瘤,乳腺癌,三阴性乳腺癌TNBC,TNBC,TROP2 ADC耐药,SG或Dato-DXd进展后,换用不同载荷ADC；联合免疫检查点抑制剂；芦康沙妥珠单抗（TROP2 ADC，不同载荷）；化疗；B7-H4 ADC等新一代靶点,后线TNBC治疗人群有限,约3-5亿美元,SG Gilead；Dato-DXd AstraZeneca/Daiichi；芦康沙妥珠单抗默沙东/科伦博泰
实体瘤,乳腺癌,三阴性乳腺癌TNBC,TNBC,LAR亚型（雄激素受体阳性）,标准化疗耐药,雄激素受体抑制剂（恩杂鲁胺、比卡鲁胺）；CDK4/6抑制剂联合AI（临床试验）,LAR亚型占TNBC的10-15%,约1-2亿美元,恩杂鲁胺Astellas/Pfizer；比卡鲁胺AstraZeneca
实体瘤,妇科肿瘤,卵巢癌（上皮性）,高级别浆液性癌HGSOC,BRCA1/2胚系或体细胞突变,铂类化疗（一线）耐药；PARP抑制剂（奥拉帕利/尼拉帕利/鲁卡帕利）一线维持后复发,奥拉帕利/尼拉帕利/鲁卡帕利维持治疗（SOLO1/PAOLA-1/PRIMA）；铂敏感复发再次化疗+PARPi；PARPi耐药后：联合抗血管生成（贝伐珠单抗）；ATR抑制剂（ceralasertib）；WEE1抑制剂；铂类再挑战（部分BRCA回复突变仍可能铂耐药）,全球年新发约31.4万人；美国年新发约2万人；BRCA突变占HGSOC的15-20%,约40-60亿美元（卵巢癌全部药物市场）；PARP抑制剂占主要份额,奥拉帕利AstraZeneca；尼拉帕利GSK/再鼎；鲁卡帕利Clovis；贝伐珠单抗Roche；ceralasertib AstraZeneca
实体瘤,妇科肿瘤,卵巢癌（上皮性）,高级别浆液性癌HGSOC,HRD阳性（BRCA-like，非BRCA突变）,铂类化疗耐药；PARP抑制剂维持后进展（BRCA回复突变、复制叉保护、药物外排）,尼拉帕利/奥拉帕利维持（PRIMA/PAOLA-1）；铂敏感复发后PARPi再挑战；耐药后：ATR抑制剂（联合奥拉帕利）；WEE1抑制剂；抗血管生成；免疫治疗联合（临床试验）,HRD阳性占HGSOC的约50%（含BRCA突变）,约20-30亿美元（HRD+卵巢癌药物市场）,尼拉帕利GSK；奥拉帕利AstraZeneca；贝伐珠单抗Roche；ceralasertib AstraZeneca
实体瘤,妇科肿瘤,卵巢癌（上皮性）,高级别浆液性癌HGSOC,HRD阴性（BRCA野生型且HRD-proficient）,铂类化疗耐药（预后最差）；PARP抑制剂获益有限,贝伐珠单抗联合化疗（GOG-218/ICON7）；铂耐药复发：非铂类化疗（脂质体阿霉素、拓扑替康、吉西他滨）；FRα靶向ADC（mirvetuximab soravtansine，SORAYA/FOULIA）；免疫检查点抑制剂（PD-L1阳性/高TMB有限）；抗血管生成酪氨酸激酶抑制剂,HRD阴性约占HGSOC的50%,约15-20亿美元,贝伐珠单抗Roche；mirvetuximab soravtansine ImmunoGen/AbbVie；帕博利珠单抗Merck；卡铂BMS/ generics
实体瘤,妇科肿瘤,卵巢癌（上皮性）,高级别浆液性癌HGSOC,铂耐药复发（多次复发）,铂类化疗（再挑战）耐药；PARP抑制剂耐药；非铂化疗耐药,FRα+患者：mirvetuximab soravtansine（SORAYA）；临床试验：BATIRAXCEPT（GAS6-AXL抑制剂）；ADC药物；免疫联合抗血管生成；CAR-T（临床试验）,铂耐药复发患者占复发卵巢癌的约50%,约8-12亿美元,mirvetuximab soravtansine AbbVie/ImmunoGen；batiraxcept Aravive；帕博利珠单抗Merck
实体瘤,妇科肿瘤,卵巢癌（上皮性）,卵巢透明细胞癌,ARID1A突变（约50%）,铂类化疗耐药（透明细胞癌天生铂耐药率较高）,PI3K/AKT/mTOR抑制剂；EZH2抑制剂（针对ARID1A缺失的合成致死）；免疫检查点抑制剂（透明细胞癌有免疫浸润特征）；抗血管生成；MEK抑制剂（部分伴PIK3CA突变）,透明细胞癌占上皮性卵巢癌的5-10%,约2-4亿美元,EZH2抑制剂Epizyme/施维雅；阿培利司Novartis；依维莫司Novartis
